candidate_id,rank,score,reasoning
CAND_0010257,13,94.400000,"The candidate's experience in building and operating production ML pipelines, including retrieval systems and recommendation engines, aligns strongly with the Senior AI Engineer role. A concern is the lack of explicit mention of experience in Pune or Noida, which are preferred locations."
CAND_0061257,14,93.723490,"The candidate has extensive experience designing ranking systems at LinkedIn and Yellow.ai, demonstrating strong production retrieval and ranking expertise. A concern is the lack of explicit detail on NLP and LLMs in their career history."
CAND_0092278,15,93.326174,"The candidate has extensive experience in building production search and ranking systems, including hybrid retrieval architectures and learning-to-rank models, aligning strongly with the Senior AI Engineer role. A material concern is the candidate's lack of openness to work, which may delay hiring timelines."
CAND_0010685,16,88.918121,"The candidate's experience in building and optimizing ranking models, including a 12% revenue-per-search improvement at Rephrase.ai, strongly aligns with the Senior AI Engineer role. However, their current role at a small startup may limit exposure to large-scale systems."
CAND_0039383,17,88.257718,"The candidate has strong experience in building production retrieval and ranking systems, including semantic search with FAISS and sentence-transformers, which aligns well with the Senior AI Engineer role. A concern is their limited depth in NLP and LLM-related skills compared to retrieval expertise."
CAND_0052328,18,87.983893,"The candidate has strong experience in recommendation systems and learning to rank, with a recent project on a discovery feed recommendation system. A concern is that their retrieval experience is primarily in a RAG-based chatbot, which may not fully align with production-scale embeddings-based retrieval systems."
CAND_0046525,19,87.973154,"The candidate has strong experience in building hybrid retrieval systems and end-to-end ranking pipelines, with measurable outcomes in engagement and performance. A material concern is the lack of explicit mention of recent hands-on coding in production NLP or LLM systems."
CAND_0044855,20,87.855034,"The candidate's experience in building production recommendation systems, retrieval pipelines, and deployment of ML models aligns strongly with the Senior AI Engineer role. A concern is the lack of explicit mention of LLM-based ranking or fine-tuning beyond a chatbot project."
CAND_0069905,21,87.849664,"The candidate has strong experience in migrating keyword-based search to embedding-based retrieval using sentence-transformers and FAISS, directly relevant to the Senior AI Engineer role. However, their focus on RAG-based chatbots and computer vision may not fully align with production embeddings-based retrieval and hybrid search."
CAND_0062247,22,87.710067,The candidate's experience in migrating keyword-based search to embedding-based retrieval and their expertise in learning-to-rank models strongly align with the Senior AI Engineer role. A material concern is the lack of explicit detail on NLP and LLM work despite relevant skills.
CAND_0080766,23,87.581208,"The candidate has extensive experience in building ranking and retrieval systems at scale, as demonstrated by their work at Swiggy, Aganitha, and Salesforce. A material concern is the lack of explicit mention of NLP/LLM work in their career history."
CAND_0007009,24,87.441611,"The candidate's extensive experience in building RAG-based systems, evaluation frameworks, and deployment of ML models aligns strongly with the Senior AI Engineer role. A concern is the lack of explicit mention of hybrid retrieval or operational reliability in deployment."
CAND_0005538,25,87.312752,"The candidate has extensive experience in building and optimizing ranking and retrieval systems at scale, as evidenced by their work at Adobe, Locobuzz, and Google. A material concern is the lack of explicit mention of vector search or hybrid retrieval systems in their career history."
CAND_0010770,26,87.178523,"The candidate has extensive experience in building and shipping ranking models using XGBoost and LightGBM, with a strong focus on production systems and evaluation. A concern is the limited explicit connection to LLMs and NLP in production systems."
CAND_0061265,27,86.920805,The candidate's experience in migrating keyword-based search to embedding-based retrieval and their expertise in learning-to-rank models strongly align with the Senior AI Engineer role. A concern is the lack of explicit mention of hybrid retrieval systems or LLM-based re-ranking.
CAND_0079387,28,86.915436,"The candidate has strong experience in building production ML systems, particularly in recommendation systems and retrieval ranking, with measurable impact on user metrics. A material concern is the lack of explicit mention of hybrid search or vector indexes beyond sentence-transformers and FAISS."
CAND_0050454,29,86.507383,"The candidate has strong experience in applied ML, particularly in retrieval systems and ranking models, with a 35% improvement in search relevance and a 12% revenue-per-search increase. A concern is the similarity between their roles at Adobe and Rephrase.ai, suggesting limited career diversification."
CAND_0099401,30,85.846980,"The candidate has strong experience in building ranking systems, as evidenced by their work at Microsoft on a learning-to-rank model that improved revenue-per-search by 12%. However, their current role at Dream11 in Ahmedabad, Gujarat, may pose a logistics challenge for relocation to preferred locations."
CAND_0065195,31,85.299329,"Candidate demonstrates strong production experience in retrieval systems, including migrating keyword-based search to embedding-based retrieval and building a RAG-based chatbot with evaluation rigor. A material concern is the lack of explicit connection between LLM skills and retrieval/ranking systems."
CAND_0075249,32,85.165101,"The candidate has strong experience in building production-grade retrieval and ranking systems, including migrating keyword-based search to embedding-based retrieval and improving search relevance by 35%. A material concern is the lack of explicit detail on LLM fine-tuning in their career history."
CAND_0011162,33,84.762416,"The candidate has strong experience in building and deploying ranking models, particularly in migrating systems to embedding-based retrieval, which aligns with the Senior AI Engineer role. However, their recent work focuses more on deployment than modeling, and their location may be a concern."
CAND_0020877,34,83.704698,"The candidate's experience in building and evaluating RAG-based systems, along with their expertise in production ML deployment, strongly aligns with the Senior AI Engineer role. A material concern is their current non-open-to-work status and 60-day notice period, which may affect immediate availability."
CAND_0086151,35,83.430872,"The candidate has strong experience in building and deploying recommendation systems and ranking models, with measurable outcomes like a 12% improvement in revenue-per-search. A material concern is the lack of explicit mention of hybrid search or vector index work beyond sentence-transformer embeddings and FAISS."
CAND_0043228,36,83.302013,The candidate's experience in building a learning-to-rank model for e-commerce search and deploying semantic search systems with sentence-transformers and FAISS strongly aligns with the Senior AI Engineer role. A concern is the lack of explicit NLP/LLM project details in career history.
CAND_0060072,37,83.033557,"The candidate's experience in building production ML systems with a focus on retrieval, ranking, and behavioral signals aligns strongly with the Senior AI Engineer role. A concern is their current lack of openness to work, which may affect immediate availability."
CAND_0057563,38,82.222819,"At Locobuzz, the candidate owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model, improving revenue-per-search by 12% (retrieval_ranking, product_shipping_outcomes). Concern: The candidate's current role is at Locobuzz, which is not in Pune or Noida, and the candidate is."
CAND_0064904,39,80.488591,"Candidate has strong production experience in recommendation systems and retrieval using embeddings, aligning with Senior AI Engineer role. Concern: 4.9 years of experience is slightly below the target range of 5-9 years."
CAND_0042100,40,79.570470,"The candidate has strong experience in building and deploying learning-to-rank models, as evidenced by their work at Freshworks and Netflix, which directly aligns with the Senior AI Engineer role. A material concern is the lack of specific production outcomes for their LLM fine-tuning work."
CAND_0051004,41,78.367785,"The candidate's experience in migrating keyword-based systems to embedding-based retrieval and building RAG-based chatbots aligns strongly with the Senior AI Engineer role. However, the repetition of project descriptions across roles and a lack of explicit architecture ownership may be concerns."
CAND_0089552,42,78.335570,"The candidate has strong experience in building retrieval systems (e.g., RAG chatbot with Pinecone, FAISS, and sentence-transformers) and applied ML, aligning with the Senior AI Engineer role. A concern is the lack of explicit hands-on work with retrieval systems beyond the RAG chatbot."
CAND_0015528,43,78.244295,"The candidate has strong experience in building production ML systems, including embedding-based retrieval and recommendation systems, which aligns with the Senior AI Engineer role. A concern is the lack of explicit NLP/LLM work in career history, though relevant skills are listed."
CAND_0009024,44,78.238926,"The candidate has strong experience in building production ML systems, particularly in retrieval and recommendation systems, with measurable product outcomes. A concern is the lack of explicit experience with hybrid search or vector indexes beyond sentence-transformer embeddings."
CAND_0066376,45,77.154362,"The candidate has strong experience in building recommendation systems and applied ML, with a proven track record of improving user engagement metrics. However, their current location in Mumbai and unwillingness to relocate may pose a challenge for roles requiring presence in preferred locations."
CAND_0000031,46,77.036242,"The candidate has strong experience in building ranking models and migrating systems to embedding-based retrieval, directly aligning with the Senior AI Engineer role. A concern is limited explicit detail on NLP and LLM work."
CAND_0095619,47,76.896644,The candidate's experience in evolving an e-commerce search ranking system from hand-tuned to learning-to-rank models directly aligns with the Senior AI Engineer role. A concern is the lack of explicit mention of production embeddings or hybrid retrieval systems in career history.
CAND_0009691,48,76.880537,"The candidate's experience in building recommendation systems with sentence-transformers, FAISS, and A/B testing infrastructure aligns strongly with the Senior AI Engineer role. However, repetitive project descriptions across multiple roles may indicate a lack of diverse experience."
CAND_0091909,49,76.085906,"At Rephrase.ai, the candidate built a content recommendation system serving 10M+ users using collaborative filtering and content-based ranking with sentence-transformer embeddings and gradient-boosted models (retrieval_ranking). Concern: The candidate's work on retrieval systems is not explicitly tied to measurable outcomes or user impact, which is important for product shipping outcomes."
CAND_0083879,50,75.559732,"The candidate has strong experience in building production ranking models and semantic search infrastructure, aligning with the Senior AI Engineer role. However, their current industry (Transportation) may not align with Redrob's focus areas."
CAND_0066999,51,75.420134,"Candidate's experience in building and deploying learning-to-rank models at Microsoft, improving revenue-per-search by 12%, aligns strongly with the Senior AI Engineer role. However, their recent focus on modeling over deployment may be a concern for hands-on system ownership expected at the senior level."
CAND_0001610,52,75.387919,"At Dream11, the candidate built a semantic search system using sentence-transformers and FAISS, achieving a 35% improvement in search relevance over BM25 (retrieval_ranking). Concern: The candidate's years of experience are listed as 3.0, which is below the target range of 5-9 years, though this may be justified by strong."
CAND_0094056,53,75.291275,"The candidate's experience in building a recommendation system and improving search relevance by 35% aligns strongly with the Senior AI Engineer role. However, their current position at a small startup may limit exposure to large-scale product environments."
CAND_0099806,54,75.151678,"Candidate has strong experience in building ranking models and migrating to embedding-based retrieval, aligning with Senior AI Engineer role. However, lack of explicit measurable user impact and recent hands-on production coding may be concerns."
CAND_0030348,55,75.146309,The candidate's experience in migrating keyword-based search to embedding-based retrieval with measurable improvements in search relevance and building recommendation systems with production impact strongly aligns with the Senior AI Engineer role. A concern is the lack of explicit mention of LLMs and fine-tuning experience in career history.
CAND_0026532,56,75.028188,"The candidate's experience in building semantic search and recommendation systems with FAISS, embeddings, and evaluation frameworks aligns strongly with the Senior AI Engineer role. A concern is their limited explicit experience with LLMs and fine-tuning."
CAND_0042029,57,74.893960,"The candidate has strong experience in building ranking models and semantic search infrastructure, aligning with the Senior AI Engineer role. A concern is limited exposure to deeper NLP and LLM fine-tuning beyond RAG applications."
CAND_0039838,58,74.748993,The candidate's experience in building semantic search infrastructure and recommendation systems aligns strongly with the Senior AI Engineer role. A material concern is the lack of explicit mention of hybrid retrieval systems and production outcomes for NLP/LLM skills.
CAND_0093912,59,74.625503,"The candidate has strong experience in building ranking models and evaluation frameworks, as demonstrated by their work at Razorpay and Flipkart. A concern is the lack of specific production deployment details for their RAG-based feature."
CAND_0047721,60,74.614765,"The candidate's experience in building production-grade recommendation systems and expertise in learning-to-rank and information retrieval strongly aligns with the Senior AI Engineer role. However, a concern is the lack of recent hands-on coding in modeling, which may affect readiness for advanced AI engineering tasks."
CAND_0022812,61,74.357047,"The candidate's experience in building ranking models and retrieval systems, including semantic search infrastructure with FAISS and sentence-transformers, aligns strongly with the Senior AI Engineer role. A material concern is the lack of recent hands-on production coding and limited explicit user impact beyond revenue-per-search improvements."
CAND_0060054,62,74.077852,The candidate's experience in building production-grade recommendation systems and semantic search with measurable outcomes aligns strongly with the Senior AI Engineer role. A concern is the lack of explicit experience with LLM fine-tuning or advanced NLP tasks.
CAND_0006418,63,73.809396,"The candidate has strong experience in building ranking models and evaluation frameworks, aligning with the Senior AI Engineer role. However, their RAG-based feature work lacks specifics on production embeddings and hybrid retrieval systems."
CAND_0036184,64,73.417450,"The candidate's experience in building a semantic search system with FAISS and sentence-transformers, achieving a 35% improvement in search relevance, strongly aligns with the Senior AI Engineer role. A concern is limited evidence of hybrid search or large-scale recommendation systems beyond semantic search."
CAND_0074735,65,73.004027,"The candidate's experience with RAG-based systems, vector search, and learning to rank directly aligns with the Senior AI Engineer role. However, their focus on chatbots rather than production-scale search systems is a concern."
CAND_0006557,66,72.875168,"The candidate's experience in evolving a search ranking system from hand-tuned to learning-to-rank, with measurable revenue improvements, aligns strongly with the Senior AI Engineer role. However, the lack of detailed production impact for their RAG-based feature is a concern."
CAND_0054123,67,72.859060,"The candidate has strong experience in building production-grade recommendation systems and semantic search with vector databases, directly relevant to a Senior AI Engineer role in search and ranking. A concern is the lack of explicit mention of experience in preferred locations like Pune or Noida."
CAND_0096172,68,72.708725,"The candidate's experience in building production NLP systems, such as semantic search with FAISS and sentence-transformers, aligns strongly with the Senior AI Engineer role. However, lack of explicit ownership of large-scale systems may be a concern for senior-level expectations."
CAND_0008239,69,72.601342,"Candidate owns a learning-to-rank model for e-commerce search, improving revenue-per-search by 12%, aligning with Senior AI Engineer requirements. Concern: Experience is focused on e-commerce search, which may not fully align with broader retrieval and recommendation systems."
CAND_0070485,70,72.483221,"The candidate's experience in building production ML systems, particularly in NLP and recommendation systems, aligns well with the Senior AI Engineer role. However, the lack of explicit NLP/LLM work in career history is a concern."
CAND_0014440,71,71.940940,"The candidate has strong experience in migrating search systems to embedding-based retrieval and building learning-to-rank models, aligning well with the Senior AI Engineer role. A material concern is the lack of explicit NLP/LLM production projects."
CAND_0044222,72,71.812081,The candidate's experience in migrating keyword-based search to embedding-based retrieval with measurable improvements aligns strongly with the Senior AI Engineer role. A concern is the lack of explicit mention of hybrid search or learning-to-rank systems beyond BM25 and embeddings.
CAND_0036437,73,71.672483,"Candidate has strong experience in building and optimizing ranking systems for e-commerce search, including transitioning from hand-tuned models to learning-to-rank approaches, which directly aligns with the Senior AI Engineer role. A concern is the lack of detailed production deployment metrics for their RAG-based feature."
CAND_0049896,74,71.393289,"The candidate's experience in building recommendation systems and retrieval pipelines, including RAG-based chatbots and vector search, strongly aligns with the Senior AI Engineer role. A concern is their focus on computer vision, which may not align with the NLP and search emphasis of the role."
CAND_0078492,75,71.269799,"The candidate's experience in building a learning-to-rank model for e-commerce search and their expertise in FAISS, BM25, and hybrid retrieval systems strongly align with the Senior AI Engineer role. A concern is the lack of explicit NLP/LLM experience in their career history."
CAND_0020708,76,71.006711,The candidate's experience in building a semantic search feature with a 35% improvement in relevance and owning a RAG-based evaluation framework strongly aligns with the Senior AI Engineer role. A concern is the lack of explicit metrics for the evaluation framework and limited exposure to diverse product environments.
CAND_0006567,77,70.958389,"The candidate's experience in building ranking and retrieval systems at Meta, Razorpay, and Glance aligns strongly with the Senior AI Engineer role. A material concern is the lack of explicit production experience with embeddings, vector indexes, or hybrid search."
CAND_0061655,78,70.738255,"The candidate has strong experience in building production-grade ranking systems, demonstrated by their 12% revenue-per-search improvement at Krutrim and 14% increase in time spent per session at Google. A material concern is their limited recent hands-on coding in production systems, with current work focused more on modeling than infrastructure."
CAND_0076251,79,70.598658,The candidate's experience in migrating keyword-based search to embedding-based retrieval and their strong background in semantic search and NLP aligns well with the Senior AI Engineer role. A concern is the lack of explicit projects involving LLMs and hybrid search systems.
CAND_0011432,80,70.464430,"The candidate has extensive experience in building and deploying ranking models using XGBoost and LightGBM, aligning with the Senior AI Engineer role. However, their retrieval work lacks explicit focus on vector search and hybrid systems, which are critical for Redrob's needs."
CAND_0037000,81,70.067114,"Migrated a keyword-search-based product to embedding-based retrieval, demonstrating production embeddings and vector search (retrieval_ranking). Concern: The candidate's years of experience (2.7) are below the target range of 5-9 years, though this may be justified by strong evidence."
CAND_0037944,82,69.932886,"The candidate has strong experience in building ranking models and recommendation systems, aligning with the Senior AI Engineer role. However, their hands-on coding in production systems is not recent enough for a senior role."
CAND_0064270,83,69.524832,"The candidate has strong experience in building ranking models and semantic search infrastructure, aligning with the Senior AI Engineer role. A concern is their 4.2 years of experience, which is below the typical 5-9 year range for senior roles."
CAND_0027691,84,69.514094,"The candidate has strong experience in recommendation systems, learning-to-rank, and production ML pipelines, aligning with the Senior AI Engineer role. However, their focus on conversational AI may not align with Redrob's search/retrieval emphasis."
CAND_0076831,85,69.390604,"The candidate has strong experience in building production ML pipelines, semantic search infrastructure, and ranking models, aligning well with the Senior AI Engineer role. A material concern is their 4.0 years of experience, which is on the lower end of the target range for senior roles."
CAND_0081852,86,69.122148,"The candidate has strong experience in building and deploying ML systems, including embedding-based retrieval and RAG chatbots, aligning with the Senior AI Engineer role. A concern is limited exposure to foundational NLP/LLM training and deployment beyond chatbots."
CAND_0061339,87,68.982550,"The candidate has strong experience in building production ML systems, particularly in retrieval and recommendation systems, with measurable outcomes. A material concern is their current role at a small startup, which may limit exposure to large-scale product environments."
CAND_0079284,88,68.456376,"The candidate has strong experience in building and deploying retrieval and ranking systems, including migrating keyword-based search to embedding-based retrieval and designing features for production ML models. A material concern is the lack of explicit connection between their skills and production retrieval/ranking systems beyond general ML work."
CAND_0019480,89,68.440268,"The candidate has strong experience in building ranking models and migrating systems to embedding-based retrieval, aligning with the Senior AI Engineer role. A concern is their 2.8 years of experience, which is below the typical 5-9 year range for such roles."
CAND_0049538,90,67.651007,"The candidate has strong experience in building and deploying ranking systems, including migrating a keyword-based search to embedding-based retrieval and improving revenue-per-search by 12%. A concern is their lack of openness to work, which may affect hiring timelines."
CAND_0054394,91,67.371812,"The candidate has strong experience in building recommendation systems and retrieval systems, with a 35% improvement in search relevance at PharmEasy and a 12% revenue-per-search increase at Netflix. A material concern is that their experience with LLMs and NLP is not deeply tied to production retrieval or ranking systems."
CAND_0076163,92,66.303356,"The candidate has strong experience in building and optimizing ranking systems, demonstrated by their work on e-commerce search products at Ola and Zoho, where they improved revenue-per-search by 12%. A material concern is the lack of detailed information on their RAG-based feature evaluation and measurable retrieval performance outcomes."
CAND_0012957,93,66.174497,"Candidate has strong experience in retrieval ranking systems, including migrating keyword-based search to embedding-based retrieval and building learning-to-rank models with measurable business impact. A concern is the lack of explicit mention of vector indexes or hybrid search systems in career history."
CAND_0045250,94,65.911409,"Candidate has strong experience in building ranking models and migrating search systems to embedding-based retrieval, aligning with Senior AI Engineer requirements. However, their current role at a small startup may limit exposure to large-scale systems."
CAND_0075439,95,65.653691,"The candidate's experience in building RAG-based systems, evaluation frameworks, and production ML pipelines aligns strongly with the Senior AI Engineer role. However, limited hands-on LLM fine-tuning and MLOps experience may be a concern."
CAND_0039521,96,65.385235,"The candidate has strong experience in building and shipping ranking models for discovery feeds using XGBoost and LightGBM, aligning with the Senior AI Engineer role. A material concern is their 3.0 years of experience, which is below the typical 5-9 year range for such roles."
CAND_0003977,97,64.848322,"The candidate's experience in migrating keyword-based search to embedding-based retrieval with measurable improvements in search relevance strongly aligns with the Senior AI Engineer role. A concern is their current employment at Google with a 45-day notice period, which may delay onboarding."
CAND_0056881,98,64.161074,"The candidate has strong experience in building and deploying ranking models (XGBoost, LightGBM) and feature engineering at Adobe, aligning with the Senior AI Engineer role. However, their recent work at Zomato focuses on churn prediction rather than retrieval or ranking, which may not fully align with the role's focus."
CAND_0013536,99,63.489933,The candidate's experience in migrating keyword-based systems to embedding-based retrieval and shipping ranking models with rigorous evaluation aligns strongly with the Senior AI Engineer role. A concern is the lack of explicit evidence on hybrid retrieval or production deployment of LLMs.
CAND_0042506,100,62.963758,"The candidate's experience in building semantic search infrastructure with FAISS, Pinecone, and sentence-transformers directly aligns with the Senior AI Engineer role. However, their 4.2 years of experience is below the target range of 5-9 years."
