stage_3_final_rank,candidate_id,stage_2_individual_rank,stage_2_individual_score,comparative_percentile,stage_3_final_score,rank_change,compared_in_top_group,selected_top_100,integrity_status,integrity_reasons
37,CAND_0083307,37,96.0,52.348993,87.269799,0,True,True,clean,
38,CAND_0010685,32,96.0,51.006711,87.001342,-6,True,True,clean,
39,CAND_0083879,41,84.0,79.865772,83.173154,2,True,True,clean,
40,CAND_0044855,53,82.0,78.52349,81.304698,13,True,True,suspicious,"QLoRA claims 71 months of use, while approximately 39 months are possible since 2023-05-23."
41,CAND_0093912,60,82.0,75.838926,80.767785,19,True,True,clean,
42,CAND_0078492,45,83.0,71.812081,80.762416,3,True,True,clean,
43,CAND_0081852,47,83.0,71.14094,80.628188,4,True,True,clean,
44,CAND_0006418,49,82.0,74.496644,80.499329,5,True,True,clean,
45,CAND_0076163,58,82.0,73.825503,80.365101,13,True,True,clean,
46,CAND_0009691,43,83.0,69.798658,80.359732,-3,True,True,suspicious,"QLoRA claims 44 months of use, while approximately 39 months are possible since 2023-05-23."
47,CAND_0027691,64,81.0,77.181208,80.236242,17,True,True,suspicious,"QLoRA claims 46 months of use, while approximately 39 months are possible since 2023-05-23."
48,CAND_0053695,66,81.0,76.510067,80.102013,18,True,True,clean,
49,CAND_0020877,50,82.0,72.483221,80.096644,1,True,True,suspicious,"QLoRA claims 83 months of use, while approximately 39 months are possible since 2023-05-23."
50,CAND_0089552,59,82.0,70.469799,79.69396,9,True,True,clean,
51,CAND_0091909,42,84.0,61.744966,79.548993,-9,True,True,suspicious,"QLoRA claims 89 months of use, while approximately 39 months are possible since 2023-05-23."
52,CAND_0044883,54,82.0,68.456376,79.291275,2,True,True,suspicious,"QLoRA claims 80 months of use, while approximately 39 months are possible since 2023-05-23."
53,CAND_0065195,56,82.0,67.114094,79.022819,3,True,True,suspicious,"QLoRA claims 93 months of use, while approximately 39 months are possible since 2023-05-23."
54,CAND_0058575,39,84.0,58.389262,78.877852,-15,True,True,clean,
55,CAND_0078002,44,83.0,59.731544,78.346309,-11,True,True,suspicious,"QLoRA claims 90 months of use, while approximately 39 months are possible since 2023-05-23."
56,CAND_0096172,73,81.0,65.771812,77.954362,17,True,True,clean,
57,CAND_0099401,74,81.0,65.100671,77.820134,17,True,True,clean,
58,CAND_0050876,65,81.0,63.758389,77.551678,7,True,True,suspicious,"QLoRA claims 58 months of use, while approximately 39 months are possible since 2023-05-23."
59,CAND_0075249,69,81.0,63.087248,77.41745,10,True,True,clean,
60,CAND_0076831,70,81.0,62.416107,77.283221,10,True,True,clean,
61,CAND_0095528,61,82.0,56.375839,76.875168,0,True,True,clean,
62,CAND_0052328,80,79.0,67.785235,76.757047,18,True,True,suspicious,"QLoRA claims 54 months of use, while approximately 39 months are possible since 2023-05-23."
63,CAND_0042029,52,82.0,53.691275,76.338255,-11,True,True,clean,
64,CAND_0066376,57,82.0,53.020134,76.204027,-7,True,True,clean,
65,CAND_0039838,77,80.0,60.402685,76.080537,12,True,True,suspicious,"QLoRA claims 40 months of use, while approximately 39 months are possible since 2023-05-23."
66,CAND_0030348,51,82.0,50.33557,75.667114,-15,True,True,clean,
67,CAND_0066999,40,84.0,41.610738,75.522148,-27,True,True,clean,
68,CAND_0042100,90,77.0,69.127517,75.425503,22,True,True,suspicious,"QLoRA claims 84 months of use, while approximately 39 months are possible since 2023-05-23."
69,CAND_0096142,72,81.0,51.677852,75.13557,3,True,True,clean,
70,CAND_0058688,67,81.0,49.66443,74.732886,-3,True,True,clean,
71,CAND_0095619,88,78.0,61.073826,74.614765,17,True,True,clean,
72,CAND_0093331,71,81.0,47.651007,74.330201,-1,True,True,clean,
73,CAND_0019480,84,78.0,59.060403,74.212081,11,True,True,clean,
74,CAND_0009024,62,81.0,46.308725,74.061745,-12,True,True,clean,
75,CAND_0060054,55,82.0,42.281879,74.056376,-20,True,True,clean,
76,CAND_0014440,63,81.0,44.966443,73.793289,-13,True,True,clean,
77,CAND_0030468,85,78.0,55.033557,73.406711,8,True,True,clean,
78,CAND_0079387,46,83.0,34.228188,73.245638,-32,True,True,suspicious,"QLoRA claims 83 months of use, while approximately 39 months are possible since 2023-05-23."
79,CAND_0064270,93,77.0,57.718121,73.143624,14,True,True,clean,
80,CAND_0012957,75,80.0,45.637584,73.127517,-5,True,True,clean,
81,CAND_0001610,48,82.0,37.583893,73.116779,-33,True,True,clean,
82,CAND_0087630,95,77.0,57.04698,73.009396,13,True,True,suspicious,"QLoRA claims 92 months of use, while approximately 39 months are possible since 2023-05-23."
83,CAND_0031593,76,80.0,44.295302,72.85906,-7,True,True,clean,
84,CAND_0045250,78,80.0,43.624161,72.724832,-6,True,True,clean,
85,CAND_0000031,83,78.0,46.979866,71.795973,-2,True,True,clean,
86,CAND_0070202,68,81.0,34.899329,71.779866,-18,True,True,clean,
87,CAND_0036437,98,76.0,54.362416,71.672483,11,True,True,clean,
88,CAND_0022812,89,77.0,48.993289,71.398658,1,True,True,clean,
89,CAND_0074735,81,79.0,40.268456,71.253691,-8,True,True,clean,
90,CAND_0016163,102,75.0,55.704698,71.14094,12,True,True,clean,
91,CAND_0086151,82,79.0,38.926174,70.985235,-9,True,True,clean,
92,CAND_0009837,79,79.0,36.912752,70.58255,-13,True,True,suspicious,"QLoRA claims 76 months of use, while approximately 39 months are possible since 2023-05-23."
93,CAND_0051004,86,78.0,39.597315,70.319463,-7,True,True,clean,
94,CAND_0049538,92,77.0,42.95302,70.190604,-2,True,True,suspicious,"QLoRA claims 53 months of use, while approximately 39 months are possible since 2023-05-23."
95,CAND_0044222,91,77.0,30.872483,67.774497,-4,True,True,suspicious,"QLoRA claims 60 months of use, while approximately 39 months are possible since 2023-05-23."
96,CAND_0070485,94,77.0,29.530201,67.50604,-2,True,True,suspicious,"QLoRA claims 53 months of use, while approximately 39 months are possible since 2023-05-23."
97,CAND_0076251,87,78.0,24.832215,67.366443,-10,True,True,clean,
98,CAND_0042506,112,72.0,48.322148,67.26443,14,True,True,clean,
99,CAND_0099806,96,77.0,26.845638,66.969128,-3,True,True,clean,
100,CAND_0074225,111,73.0,40.939597,66.587919,11,True,True,suspicious,"QLoRA claims 51 months of use, while approximately 39 months are possible since 2023-05-23."
101,CAND_0049896,108,74.0,35.57047,66.314094,7,True,False,clean,
102,CAND_0054123,105,75.0,30.201342,66.040268,3,True,False,clean,
103,CAND_0079284,99,76.0,24.161074,65.632215,-4,True,False,clean,
104,CAND_0094056,107,75.0,27.516779,65.503356,3,True,False,clean,
105,CAND_0027801,103,75.0,25.503356,65.100671,-2,True,False,suspicious,"QLoRA claims 52 months of use, while approximately 39 months are possible since 2023-05-23."
106,CAND_0037944,109,73.0,31.543624,64.708725,3,True,False,suspicious,"QLoRA claims 58 months of use, while approximately 39 months are possible since 2023-05-23."
107,CAND_0008239,101,75.0,23.489933,64.697987,-6,True,False,clean,
108,CAND_0081053,100,76.0,19.463087,64.692617,-8,True,False,clean,
109,CAND_0026532,114,71.0,38.255034,64.451007,5,True,False,clean,
110,CAND_0003977,97,76.0,13.422819,63.484564,-13,True,False,clean,
111,CAND_0037000,104,75.0,16.778523,63.355705,-7,True,False,clean,
112,CAND_0064904,106,75.0,15.436242,63.087248,-6,True,False,clean,
113,CAND_0054394,110,73.0,20.805369,62.561074,-3,True,False,clean,
114,CAND_0084819,113,72.0,18.791946,61.358389,-1,True,False,clean,
115,CAND_0020708,115,67.0,32.214765,60.042953,0,True,False,clean,
116,CAND_0092245,118,65.0,28.187919,57.637584,2,True,False,clean,
117,CAND_0032807,116,66.0,17.449664,56.289933,-1,True,False,clean,
118,CAND_0056881,119,64.0,22.147651,55.62953,1,True,False,clean,
119,CAND_0057701,117,65.0,16.107383,55.221477,-2,True,False,clean,
120,CAND_0020350,122,61.0,26.174497,54.034899,2,True,False,clean,
121,CAND_0087364,120,64.0,4.026846,52.005369,-1,True,False,clean,
122,CAND_0032216,123,58.0,22.818792,50.963758,1,True,False,clean,
123,CAND_0007460,121,62.0,2.013423,50.002685,-2,True,False,clean,
124,CAND_0046132,130,52.0,36.241611,48.848322,6,True,False,clean,
125,CAND_0033987,124,58.0,11.409396,48.681879,-1,True,False,clean,
126,CAND_0093763,139,52.0,33.557047,48.311409,13,True,False,clean,
127,CAND_0093799,140,52.0,32.885906,48.177181,13,True,False,suspicious,"QLoRA claims 60 months of use, while approximately 39 months are possible since 2023-05-23."
128,CAND_0072688,128,53.0,28.85906,48.171812,0,True,False,clean,
129,CAND_0066035,125,56.0,6.040268,46.008054,-4,True,False,clean,
130,CAND_0092255,138,52.0,21.47651,45.895302,8,True,False,clean,
131,CAND_0067866,133,52.0,20.134228,45.626846,2,True,False,clean,
132,CAND_0001405,142,51.0,18.120805,44.424161,10,True,False,suspicious,"QLoRA claims 53 months of use, while approximately 39 months are possible since 2023-05-23."
133,CAND_0008295,127,53.0,8.724832,44.144966,-6,True,False,clean,
134,CAND_0015057,149,51.0,14.765101,43.75302,15,True,False,clean,
135,CAND_0040178,129,52.0,10.738255,43.747651,-6,True,False,clean,
136,CAND_0003575,143,51.0,14.09396,43.618792,7,True,False,clean,
137,CAND_0048558,131,52.0,10.067114,43.613423,-6,True,False,clean,
138,CAND_0090155,137,52.0,9.395973,43.479195,-1,True,False,clean,
139,CAND_0010149,146,51.0,12.751678,43.350336,7,True,False,clean,
140,CAND_0010603,147,51.0,12.080537,43.216107,7,True,False,clean,
141,CAND_0053605,132,52.0,6.711409,42.942282,-9,True,False,clean,
142,CAND_0007052,126,53.0,2.684564,42.936913,-16,True,False,clean,
143,CAND_0073883,134,52.0,5.369128,42.673826,-9,True,False,clean,
144,CAND_0086893,135,52.0,4.697987,42.539597,-9,True,False,suspicious,"QLoRA claims 48 months of use, while approximately 39 months are possible since 2023-05-23."
145,CAND_0008517,145,51.0,8.053691,42.410738,0,True,False,clean,
146,CAND_0014909,148,51.0,7.38255,42.27651,2,True,False,clean,
147,CAND_0089546,136,52.0,0.671141,41.734228,-11,True,False,suspicious,"QLoRA claims 53 months of use, while approximately 39 months are possible since 2023-05-23."
148,CAND_0098454,141,52.0,0.0,41.6,-7,True,False,clean,
149,CAND_0004628,144,51.0,3.355705,41.471141,-5,True,False,clean,
150,CAND_0015065,150,51.0,1.342282,41.068456,0,True,False,clean,
151,CAND_0018888,151,51.0,0.0,40.8,0,False,False,clean,
152,CAND_0030784,152,51.0,0.0,40.8,0,False,False,suspicious,"QLoRA claims 50 months of use, while approximately 39 months are possible since 2023-05-23."
153,CAND_0035879,153,51.0,0.0,40.8,0,False,False,clean,
154,CAND_0036121,154,51.0,0.0,40.8,0,False,False,clean,
155,CAND_0043381,155,51.0,0.0,40.8,0,False,False,clean,
156,CAND_0043829,156,51.0,0.0,40.8,0,False,False,clean,
157,CAND_0046353,157,51.0,0.0,40.8,0,False,False,clean,
158,CAND_0054318,158,51.0,0.0,40.8,0,False,False,clean,
159,CAND_0059795,159,51.0,0.0,40.8,0,False,False,clean,
160,CAND_0060538,160,51.0,0.0,40.8,0,False,False,clean,
161,CAND_0061550,161,51.0,0.0,40.8,0,False,False,clean,
162,CAND_0061819,162,51.0,0.0,40.8,0,False,False,clean,
163,CAND_0065430,163,51.0,0.0,40.8,0,False,False,clean,
164,CAND_0070589,164,51.0,0.0,40.8,0,False,False,clean,
165,CAND_0071939,165,51.0,0.0,40.8,0,False,False,suspicious,"QLoRA claims 40 months of use, while approximately 39 months are possible since 2023-05-23."
166,CAND_0072768,166,51.0,0.0,40.8,0,False,False,clean,
167,CAND_0073007,167,51.0,0.0,40.8,0,False,False,clean,
168,CAND_0076412,168,51.0,0.0,40.8,0,False,False,clean,
169,CAND_0083852,169,51.0,0.0,40.8,0,False,False,clean,
170,CAND_0090584,170,51.0,0.0,40.8,0,False,False,clean,
171,CAND_0091890,171,51.0,0.0,40.8,0,False,False,clean,
172,CAND_0092706,172,51.0,0.0,40.8,0,False,False,clean,
173,CAND_0095207,173,51.0,0.0,40.8,0,False,False,clean,
174,CAND_0097176,174,51.0,0.0,40.8,0,False,False,clean,
175,CAND_0004402,175,50.0,0.0,40.0,0,False,False,clean,
176,CAND_0014234,176,50.0,0.0,40.0,0,False,False,clean,
177,CAND_0014743,177,50.0,0.0,40.0,0,False,False,clean,
178,CAND_0015967,178,50.0,0.0,40.0,0,False,False,clean,
179,CAND_0016659,179,50.0,0.0,40.0,0,False,False,clean,
180,CAND_0019288,180,50.0,0.0,40.0,0,False,False,clean,
181,CAND_0019845,181,50.0,0.0,40.0,0,False,False,clean,
182,CAND_0020991,182,50.0,0.0,40.0,0,False,False,clean,
183,CAND_0022023,183,50.0,0.0,40.0,0,False,False,clean,
184,CAND_0028422,184,50.0,0.0,40.0,0,False,False,clean,
185,CAND_0029135,185,50.0,0.0,40.0,0,False,False,clean,
186,CAND_0037160,186,50.0,0.0,40.0,0,False,False,clean,
187,CAND_0038949,187,50.0,0.0,40.0,0,False,False,clean,
188,CAND_0043304,188,50.0,0.0,40.0,0,False,False,clean,
189,CAND_0044248,189,50.0,0.0,40.0,0,False,False,clean,
190,CAND_0044262,190,50.0,0.0,40.0,0,False,False,clean,
191,CAND_0044890,191,50.0,0.0,40.0,0,False,False,clean,
192,CAND_0045141,192,50.0,0.0,40.0,0,False,False,clean,
193,CAND_0047521,193,50.0,0.0,40.0,0,False,False,clean,
194,CAND_0051593,194,50.0,0.0,40.0,0,False,False,clean,
195,CAND_0054829,195,50.0,0.0,40.0,0,False,False,clean,
196,CAND_0055624,196,50.0,0.0,40.0,0,False,False,clean,
197,CAND_0060315,197,50.0,0.0,40.0,0,False,False,suspicious,"QLoRA claims 59 months of use, while approximately 39 months are possible since 2023-05-23."
198,CAND_0061175,198,50.0,0.0,40.0,0,False,False,clean,
199,CAND_0064888,199,50.0,0.0,40.0,0,False,False,clean,
200,CAND_0065514,200,50.0,0.0,40.0,0,False,False,clean,
201,CAND_0065786,201,50.0,0.0,40.0,0,False,False,clean,
202,CAND_0072721,202,50.0,0.0,40.0,0,False,False,clean,
203,CAND_0073504,203,50.0,0.0,40.0,0,False,False,clean,
204,CAND_0073620,204,50.0,0.0,40.0,0,False,False,clean,
205,CAND_0074317,205,50.0,0.0,40.0,0,False,False,clean,
206,CAND_0074731,206,50.0,0.0,40.0,0,False,False,clean,
207,CAND_0078262,207,50.0,0.0,40.0,0,False,False,clean,
208,CAND_0080344,208,50.0,0.0,40.0,0,False,False,clean,
209,CAND_0089947,209,50.0,0.0,40.0,0,False,False,clean,
210,CAND_0091580,210,50.0,0.0,40.0,0,False,False,clean,
211,CAND_0091745,211,50.0,0.0,40.0,0,False,False,clean,
212,CAND_0098288,212,50.0,0.0,40.0,0,False,False,clean,
213,CAND_0099751,213,50.0,0.0,40.0,0,False,False,suspicious,"QLoRA claims 42 months of use, while approximately 39 months are possible since 2023-05-23."
214,CAND_0001151,214,49.0,0.0,39.2,0,False,False,clean,
215,CAND_0001494,215,49.0,0.0,39.2,0,False,False,clean,
216,CAND_0001930,216,49.0,0.0,39.2,0,False,False,clean,
217,CAND_0003841,217,49.0,0.0,39.2,0,False,False,clean,
218,CAND_0004972,218,49.0,0.0,39.2,0,False,False,clean,
219,CAND_0006538,219,49.0,0.0,39.2,0,False,False,clean,
220,CAND_0008618,220,49.0,0.0,39.2,0,False,False,clean,
221,CAND_0009200,221,49.0,0.0,39.2,0,False,False,clean,
222,CAND_0010283,222,49.0,0.0,39.2,0,False,False,clean,
223,CAND_0010541,223,49.0,0.0,39.2,0,False,False,clean,
224,CAND_0011757,224,49.0,0.0,39.2,0,False,False,clean,
225,CAND_0015581,225,49.0,0.0,39.2,0,False,False,suspicious,"QLoRA claims 51 months of use, while approximately 39 months are possible since 2023-05-23."
226,CAND_0015760,226,49.0,0.0,39.2,0,False,False,clean,
227,CAND_0022852,227,49.0,0.0,39.2,0,False,False,clean,
228,CAND_0024630,228,49.0,0.0,39.2,0,False,False,clean,
229,CAND_0025640,229,49.0,0.0,39.2,0,False,False,clean,
230,CAND_0025882,230,49.0,0.0,39.2,0,False,False,clean,
231,CAND_0027218,231,49.0,0.0,39.2,0,False,False,clean,
232,CAND_0027723,232,49.0,0.0,39.2,0,False,False,clean,
233,CAND_0028287,233,49.0,0.0,39.2,0,False,False,clean,
234,CAND_0028318,234,49.0,0.0,39.2,0,False,False,clean,
235,CAND_0029971,235,49.0,0.0,39.2,0,False,False,clean,
236,CAND_0030550,236,49.0,0.0,39.2,0,False,False,clean,
237,CAND_0033445,237,49.0,0.0,39.2,0,False,False,clean,
238,CAND_0033749,238,49.0,0.0,39.2,0,False,False,clean,
239,CAND_0038368,239,49.0,0.0,39.2,0,False,False,suspicious,"QLoRA claims 49 months of use, while approximately 39 months are possible since 2023-05-23."
240,CAND_0040310,240,49.0,0.0,39.2,0,False,False,clean,
241,CAND_0040677,241,49.0,0.0,39.2,0,False,False,clean,
242,CAND_0041402,242,49.0,0.0,39.2,0,False,False,clean,
243,CAND_0042370,243,49.0,0.0,39.2,0,False,False,clean,
244,CAND_0042441,244,49.0,0.0,39.2,0,False,False,clean,
245,CAND_0044091,245,49.0,0.0,39.2,0,False,False,clean,
246,CAND_0044696,246,49.0,0.0,39.2,0,False,False,clean,
247,CAND_0045475,247,49.0,0.0,39.2,0,False,False,suspicious,"QLoRA claims 59 months of use, while approximately 39 months are possible since 2023-05-23."
248,CAND_0045862,248,49.0,0.0,39.2,0,False,False,clean,
249,CAND_0046459,249,49.0,0.0,39.2,0,False,False,clean,
250,CAND_0047327,250,49.0,0.0,39.2,0,False,False,clean,
251,CAND_0048469,251,49.0,0.0,39.2,0,False,False,clean,
252,CAND_0049543,252,49.0,0.0,39.2,0,False,False,clean,
253,CAND_0049615,253,49.0,0.0,39.2,0,False,False,clean,
254,CAND_0051466,254,49.0,0.0,39.2,0,False,False,clean,
255,CAND_0052169,255,49.0,0.0,39.2,0,False,False,clean,
256,CAND_0052360,256,49.0,0.0,39.2,0,False,False,clean,
257,CAND_0052498,257,49.0,0.0,39.2,0,False,False,clean,
258,CAND_0053934,258,49.0,0.0,39.2,0,False,False,clean,
259,CAND_0054100,259,49.0,0.0,39.2,0,False,False,clean,
260,CAND_0055139,260,49.0,0.0,39.2,0,False,False,clean,
261,CAND_0055362,261,49.0,0.0,39.2,0,False,False,clean,
262,CAND_0058426,262,49.0,0.0,39.2,0,False,False,suspicious,"QLoRA claims 57 months of use, while approximately 39 months are possible since 2023-05-23."
263,CAND_0060340,263,49.0,0.0,39.2,0,False,False,clean,
264,CAND_0062561,264,49.0,0.0,39.2,0,False,False,clean,
265,CAND_0064130,265,49.0,0.0,39.2,0,False,False,clean,
266,CAND_0064331,266,49.0,0.0,39.2,0,False,False,clean,
267,CAND_0065277,267,49.0,0.0,39.2,0,False,False,clean,
268,CAND_0065805,268,49.0,0.0,39.2,0,False,False,clean,
269,CAND_0065991,269,49.0,0.0,39.2,0,False,False,suspicious,"QLoRA claims 41 months of use, while approximately 39 months are possible since 2023-05-23."
270,CAND_0067041,270,49.0,0.0,39.2,0,False,False,clean,
271,CAND_0067322,271,49.0,0.0,39.2,0,False,False,clean,
272,CAND_0067717,272,49.0,0.0,39.2,0,False,False,clean,
273,CAND_0068393,273,49.0,0.0,39.2,0,False,False,clean,
274,CAND_0068456,274,49.0,0.0,39.2,0,False,False,clean,
275,CAND_0068777,275,49.0,0.0,39.2,0,False,False,clean,
276,CAND_0069386,276,49.0,0.0,39.2,0,False,False,clean,
277,CAND_0070544,277,49.0,0.0,39.2,0,False,False,clean,
278,CAND_0071033,278,49.0,0.0,39.2,0,False,False,suspicious,"QLoRA claims 55 months of use, while approximately 39 months are possible since 2023-05-23."
279,CAND_0071432,279,49.0,0.0,39.2,0,False,False,clean,
280,CAND_0071913,280,49.0,0.0,39.2,0,False,False,clean,
281,CAND_0073556,281,49.0,0.0,39.2,0,False,False,suspicious,"QLoRA claims 41 months of use, while approximately 39 months are possible since 2023-05-23."
282,CAND_0073633,282,49.0,0.0,39.2,0,False,False,clean,
283,CAND_0073781,283,49.0,0.0,39.2,0,False,False,suspicious,"QLoRA claims 45 months of use, while approximately 39 months are possible since 2023-05-23."
284,CAND_0073917,284,49.0,0.0,39.2,0,False,False,clean,
285,CAND_0074024,285,49.0,0.0,39.2,0,False,False,clean,
286,CAND_0074339,286,49.0,0.0,39.2,0,False,False,clean,
287,CAND_0077504,287,49.0,0.0,39.2,0,False,False,suspicious,"QLoRA claims 43 months of use, while approximately 39 months are possible since 2023-05-23."
288,CAND_0080051,288,49.0,0.0,39.2,0,False,False,clean,
289,CAND_0080472,289,49.0,0.0,39.2,0,False,False,clean,
290,CAND_0081563,290,49.0,0.0,39.2,0,False,False,clean,
291,CAND_0082489,291,49.0,0.0,39.2,0,False,False,clean,
292,CAND_0082618,292,49.0,0.0,39.2,0,False,False,clean,
293,CAND_0082913,293,49.0,0.0,39.2,0,False,False,clean,
294,CAND_0083790,294,49.0,0.0,39.2,0,False,False,clean,
295,CAND_0087006,295,49.0,0.0,39.2,0,False,False,clean,
296,CAND_0088049,296,49.0,0.0,39.2,0,False,False,clean,
297,CAND_0093883,297,49.0,0.0,39.2,0,False,False,clean,
298,CAND_0094685,298,49.0,0.0,39.2,0,False,False,clean,
299,CAND_0096209,299,49.0,0.0,39.2,0,False,False,clean,
300,CAND_0097896,300,49.0,0.0,39.2,0,False,False,clean,
301,CAND_0099269,301,49.0,0.0,39.2,0,False,False,clean,
302,CAND_0099675,302,49.0,0.0,39.2,0,False,False,clean,
303,CAND_0000273,303,48.0,0.0,38.4,0,False,False,clean,
304,CAND_0001651,304,48.0,0.0,38.4,0,False,False,clean,
305,CAND_0004131,305,48.0,0.0,38.4,0,False,False,clean,
306,CAND_0006437,306,48.0,0.0,38.4,0,False,False,clean,
307,CAND_0006833,307,48.0,0.0,38.4,0,False,False,clean,
308,CAND_0009505,308,48.0,0.0,38.4,0,False,False,clean,
309,CAND_0011220,309,48.0,0.0,38.4,0,False,False,clean,
310,CAND_0012988,310,48.0,0.0,38.4,0,False,False,clean,
311,CAND_0013393,311,48.0,0.0,38.4,0,False,False,clean,
312,CAND_0013665,312,48.0,0.0,38.4,0,False,False,suspicious,"QLoRA claims 45 months of use, while approximately 39 months are possible since 2023-05-23."
313,CAND_0015478,313,48.0,0.0,38.4,0,False,False,clean,
314,CAND_0022274,314,48.0,0.0,38.4,0,False,False,clean,
315,CAND_0024147,315,48.0,0.0,38.4,0,False,False,clean,
316,CAND_0032089,316,48.0,0.0,38.4,0,False,False,clean,
317,CAND_0032271,317,48.0,0.0,38.4,0,False,False,clean,
318,CAND_0040946,318,48.0,0.0,38.4,0,False,False,clean,
319,CAND_0041348,319,48.0,0.0,38.4,0,False,False,clean,
320,CAND_0044576,320,48.0,0.0,38.4,0,False,False,clean,
321,CAND_0046924,321,48.0,0.0,38.4,0,False,False,clean,
322,CAND_0047492,322,48.0,0.0,38.4,0,False,False,clean,
323,CAND_0050707,323,48.0,0.0,38.4,0,False,False,clean,
324,CAND_0052706,324,48.0,0.0,38.4,0,False,False,clean,
325,CAND_0052827,325,48.0,0.0,38.4,0,False,False,clean,
326,CAND_0054059,326,48.0,0.0,38.4,0,False,False,clean,
327,CAND_0058412,327,48.0,0.0,38.4,0,False,False,clean,
328,CAND_0061352,328,48.0,0.0,38.4,0,False,False,clean,
329,CAND_0066798,329,48.0,0.0,38.4,0,False,False,clean,
330,CAND_0067535,330,48.0,0.0,38.4,0,False,False,clean,
331,CAND_0067643,331,48.0,0.0,38.4,0,False,False,clean,
332,CAND_0069232,332,48.0,0.0,38.4,0,False,False,clean,
333,CAND_0069925,333,48.0,0.0,38.4,0,False,False,clean,
334,CAND_0070333,334,48.0,0.0,38.4,0,False,False,clean,
335,CAND_0072091,335,48.0,0.0,38.4,0,False,False,clean,
336,CAND_0074325,336,48.0,0.0,38.4,0,False,False,clean,
337,CAND_0074621,337,48.0,0.0,38.4,0,False,False,clean,
338,CAND_0080534,338,48.0,0.0,38.4,0,False,False,clean,
339,CAND_0087529,339,48.0,0.0,38.4,0,False,False,clean,
340,CAND_0000422,340,47.0,0.0,37.6,0,False,False,clean,
341,CAND_0006354,341,47.0,0.0,37.6,0,False,False,clean,
